-0.4826,-0.2949,1.0102,49.7952,-0.3627,-0.9327
-0.4826,-0.2949,0.9848,49.4843,-0.2073,-1.0881
-0.4826,-0.2949,0.9594,49.1216,-0.2591,-1.2954
-0.4826,-0.2949,0.9340,48.8107,-0.2591,-1.3990
-0.4826,-0.2949,0.9086,48.4480,-0.2591,-1.6063
-0.4826,-0.2949,0.8832,48.1371,-0.3109,-1.8136
-0.4826,-0.2949,0.8578,47.7744,-0.3627,-1.8654
-0.4826,-0.2949,0.8324,47.4635,-0.4145,-1.9172
-0.4826,-0.2949,0.8070,47.1526,-0.2591,-2.0726
-0.4826,-0.2949,0.7816,46.7380,-0.5182,-2.0208
-0.4826,-0.2949,0.7562,46.4790,-0.3109,-2.1763
-0.4826,-0.2949,0.7308,46.2199,-0.2073,-2.2799
-0.4826,-0.2949,0.7054,45.9090,-0.2073,-2.2799
-0.4826,-0.2949,0.6800,45.7017,-0.3627,-2.3317
-0.4826,-0.2949,0.6546,45.4944,-0.2073,-2.3317
-0.4826,-0.2949,0.6292,45.2354,-0.3627,-2.3317
-0.4826,-0.2949,0.6038,45.0799,-0.1554,-2.3835
-0.4826,-0.2949,0.5784,44.8727,-0.1554,-2.3835
-0.4826,-0.2949,0.5530,44.7172,-0.1036,-2.3835
-0.4826,-0.2949,0.5276,44.6136,0.0000,-2.2799
-0.4826,-0.2949,0.5022,44.4581,-0.1036,-2.2281
-0.4826,-0.2949,0.4768,44.4063,-0.0518,-2.1763
-0.4826,-0.2949,0.4514,44.3027,-0.0518,-2.1763
-0.4826,-0.2949,0.4260,44.2509,-0.2591,-2.0726
-0.4826,-0.2949,0.4006,44.2509,-0.2073,-2.1245
-0.4826,-0.2949,0.3752,44.1990,-0.2591,-2.0208
-0.4826,-0.2949,0.3498,44.1990,-0.1036,-1.8654
-0.4826,-0.2949,0.3244,44.2509,-0.1036,-1.8654
-0.4826,-0.2949,0.2990,44.2509,-0.1036,-1.7617
-0.4826,-0.2641,1.0102,49.6915,-0.1554,-1.0363
-0.4826,-0.2641,0.9848,49.3806,-0.1554,-1.1918
-0.4826,-0.2641,0.9594,49.0698,-0.1554,-1.3990
-0.4826,-0.2641,0.9340,48.7070,-0.1036,-1.5545
-0.4826,-0.2641,0.9086,48.3443,-0.2073,-1.7099
-0.4826,-0.2641,0.8832,48.0334,-0.1554,-1.8136
-0.4826,-0.2641,0.8578,47.6707,-0.2591,-1.9172
-0.4826,-0.2641,0.8324,47.3080,-0.3627,-2.0726
